Algorithm,Seed,Return,waiting_list,queue_list,speed_list,Actor loss,Critic loss,VAE loss,Log time
IPPO,43,-1.2587500000000016,1137.0,106,6.634858852423279,-0.004722466702503425,1.361809421145881,,05-20 04:36:50
IPPO,43,-0.9649999999999995,899.0,101,6.768709120658303,-0.004722466702503425,1.361809421145881,,05-20 04:39:13
IPPO,43,-1.4243750000000008,1514.0,125,6.254748906402469,-0.004722466702503425,1.361809421145881,,05-20 04:41:37
IPPO,43,-1.3331249999999988,1739.0,111,6.512759533007601,-0.004722466702503425,1.361809421145881,,05-20 04:44:04
IPPO,43,-1.2524999999999995,1447.0,103,6.390542573591666,-0.004722466702503425,1.361809421145881,,05-20 04:46:27
IPPO,43,-1.1831249999999993,1424.0,86,7.06301384737467,-0.004722466702503425,1.361809421145881,,05-20 04:48:51
IPPO,43,-1.0875000000000026,1328.0,92,7.021786811368757,-0.004722466702503425,1.361809421145881,,05-20 04:51:17
IPPO,43,-0.9474999999999973,932.0,90,6.913296251218368,-0.004722466702503425,1.361809421145881,,05-20 04:53:40
IPPO,43,-1.1468749999999996,1354.0,103,6.699335965601657,-0.004722466702503425,1.361809421145881,,05-20 04:56:05
IPPO,43,-0.9050000000000015,1129.0,96,7.279400324735376,-0.004722466702503425,1.361809421145881,,05-20 04:58:28
